Year,AID,MigratoryStrategy,SpringMS,SpringMSDate,SpringMSTime,SpringME,SpringMEDate,SpringMETime,FallMS,FallMSDate,FallMSTime,FallME,FallMEDate,FallMETime,Notes
2017,286,Long,3/18/2017 13:00,3/18/2017,13:00:00,5/30/2017 11:00,5/30/2017,11:00:00,10/2/2017 7:00,10/2/2017,7:00:00,10/22/2017 1:00,10/22/2017,1:00:00,
2017,287,Long,5/14/2017 5:00,5/14/2017,5:00:00,7/18/2017 13:00,7/18/2017,13:00:00,9/16/2017 9:00,9/16/2017,9:00:00,10/17/2017 11:00,10/17/2017,11:00:00,
2017,288,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 3/16/2017
2017,289,Medium,4/17/2017 3:00,4/17/2017,3:00:00,5/14/2017 15:00,5/14/2017,15:00:00,10/17/2017 15:00,10/17/2017,15:00:00,10/27/2017 15:00,10/27/2017,15:00:00,
2017,290,Long,5/3/2017 5:00,5/3/2017,5:00:00,5/26/2017 19:00,5/26/2017,19:00:00,10/21/2017 5:00,10/21/2017,5:00:00,11/7/2017 9:00,11/7/2017,9:00:00,
2017,291,Long,5/3/2017 5:00,5/3/2017,5:00:00,6/10/2017 13:00,6/10/2017,13:00:00,10/21/2017 1:00,10/21/2017,1:00:00,11/2/2017 17:00,11/2/2017,17:00:00,Remained in the Prospects for the winter of 2017-18
2017,292,Long,3/16/2017 5:00,3/16/2017,5:00:00,7/6/2017 11:00,7/6/2017,11:00:00,9/15/2017 21:00,9/15/2017,21:00:00,10/17/2017 3:00,10/17/2017,3:00:00,
2017,293,Long,5/11/2017 3:00,5/11/2017,3:00:00,5/30/2017 15:00,5/30/2017,15:00:00,10/4/2017 3:00,10/4/2017,3:00:00,10/20/2017 9:00,10/20/2017,9:00:00,
2017,294,Medium,5/4/2017 19:00,5/4/2017,19:00:00,5/16/2017 13:00,5/16/2017,13:00:00,10/9/2017 7:00,10/9/2017,7:00:00,10/18/2017 19:00,10/18/2017,19:00:00,
2017,295,Medium,5/1/2017 3:00,5/1/2017,3:00:00,5/8/2017 13:00,5/8/2017,13:00:00,10/11/2017 7:00,10/11/2017,7:00:00,10/13/2017 19:00,10/13/2017,19:00:00,
2017,296,Medium,5/3/2017 5:00,5/3/2017,5:00:00,5/11/2017 21:00,5/11/2017,21:00:00,10/24/2017 13:00,10/24/2017,13:00:00,11/1/2017 5:00,11/1/2017,5:00:00,
2017,297,Medium,4/10/2017 21:00,4/10/2017,21:00:00,7/3/2017 15:00,7/3/2017,15:00:00,10/22/2017 9:00,10/22/2017,9:00:00,10/23/2017 13:00,10/23/2017,13:00:00,"Spent the winter south of Sinks Canyon Road, near Lander; died on 1/28/18"
2017,298,Long,3/28/2017 23:00,3/28/2017,23:00:00,6/13/2017 9:00,6/13/2017,9:00:00,10/6/2017 7:00,10/6/2017,7:00:00,1/22/2018 1:00,1/22/2018,1:00:00,
2017,299,Long,5/2/2017 23:00,5/2/2017,23:00:00,5/24/2017 3:00,5/24/2017,3:00:00,10/18/2017 7:00,10/18/2017,7:00:00,12/8/2017 7:00,12/8/2017,7:00:00,
2017,300,Long,3/28/2017 11:00,3/28/2017,11:00:00,6/20/2017 13:00,6/20/2017,13:00:00,10/8/2017 1:00,10/8/2017,1:00:00,12/15/2017 21:00,12/15/2017,21:00:00,
2017,301,N/A,4/19/2017 17:00,4/19/2017,17:00:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Died on 5/13/2017
2017,302,Long,4/25/2017 3:00,4/25/2017,3:00:00,6/8/2017 7:00,6/8/2017,7:00:00,9/25/2017 9:00,9/25/2017,9:00:00,11/29/2017 1:00,11/29/2017,1:00:00,
